case,activity,time
1801,B,27000
1801,E,27001
1801,G,27002
1801,A,27003
1801,D,27004
1801,A,27005
1801,G,27006
1801,B,27007
1801,A,27008
1801,G,27009
1801,G,27010
1801,B,27011
1801,A,27012
1801,D,27013
1801,F,27014
1802,B,27015
1802,C,27016
1802,E,27017
1802,E,27018
1802,B,27019
1802,D,27020
1802,C,27021
1802,C,27022
1802,C,27023
1802,E,27024
1802,C,27025
1802,B,27026
1802,C,27027
1802,G,27028
1802,F,27029
1803,B,27030
1803,C,27031
1803,A,27032
1803,D,27033
1803,D,27034
1803,E,27035
1803,A,27036
1803,C,27037
1803,D,27038
1803,A,27039
1803,B,27040
1803,G,27041
1803,C,27042
1803,E,27043
1803,F,27044
1804,B,27045
1804,G,27046
1804,D,27047
1804,E,27048
1804,B,27049
1804,G,27050
1804,C,27051
1804,B,27052
1804,C,27053
1804,E,27054
1804,B,27055
1804,E,27056
1804,E,27057
1804,D,27058
1804,F,27059
1805,B,27060
1805,A,27061
1805,E,27062
1805,E,27063
1805,B,27064
1805,D,27065
1805,D,27066
1805,C,27067
1805,E,27068
1805,E,27069
1805,A,27070
1805,A,27071
1805,B,27072
1805,B,27073
1805,F,27074
1806,B,27075
1806,C,27076
1806,D,27077
1806,D,27078
1806,G,27079
1806,D,27080
1806,C,27081
1806,G,27082
1806,B,27083
1806,D,27084
1806,D,27085
1806,B,27086
1806,A,27087
1806,G,27088
1806,F,27089
1807,B,27090
1807,B,27091
1807,E,27092
1807,A,27093
1807,A,27094
1807,A,27095
1807,D,27096
1807,B,27097
1807,C,27098
1807,E,27099
1807,C,27100
1807,A,27101
1807,E,27102
1807,C,27103
1807,F,27104
1808,B,27105
1808,D,27106
1808,A,27107
1808,D,27108
1808,C,27109
1808,A,27110
1808,E,27111
1808,G,27112
1808,G,27113
1808,B,27114
1808,D,27115
1808,B,27116
1808,C,27117
1808,D,27118
1808,F,27119
1809,B,27120
1809,G,27121
1809,E,27122
1809,G,27123
1809,A,27124
1809,A,27125
1809,G,27126
1809,E,27127
1809,E,27128
1809,E,27129
1809,E,27130
1809,A,27131
1809,A,27132
1809,G,27133
1809,F,27134
1810,B,27135
1810,E,27136
1810,B,27137
1810,D,27138
1810,A,27139
1810,B,27140
1810,E,27141
1810,B,27142
1810,G,27143
1810,A,27144
1810,D,27145
1810,B,27146
1810,C,27147
1810,B,27148
1810,F,27149
1811,B,27150
1811,A,27151
1811,G,27152
1811,G,27153
1811,E,27154
1811,E,27155
1811,E,27156
1811,B,27157
1811,D,27158
1811,B,27159
1811,E,27160
1811,A,27161
1811,G,27162
1811,C,27163
1811,F,27164
1812,B,27165
1812,A,27166
1812,E,27167
1812,A,27168
1812,B,27169
1812,G,27170
1812,E,27171
1812,E,27172
