case;activity;time
615;a_1;05/01/2015 10.18.45
615;d_1;05/01/2015 10.19.33
615;c_1;05/01/2015 10.20.26
615;f_1;05/01/2015 10.21.18
616;b_1;05/01/2015 10.19.46
616;d_1;05/01/2015 10.20.20
616;e_1;05/01/2015 10.21.11
616;g_1;05/01/2015 10.21.52
617;b_1;05/01/2015 10.21.57
617;d_1;05/01/2015 10.22.04
617;e_1;05/01/2015 10.22.05
617;g_1;05/01/2015 10.24.22
618;a_1;05/01/2015 10.20.52
618;c_1;05/01/2015 10.20.55
618;d_1;05/01/2015 10.22.04
618;f_1;05/01/2015 10.22.24
619;b_1;05/01/2015 10.22.05
619;d_1;05/01/2015 10.22.05
619;e_1;05/01/2015 10.23.23
619;g_1;05/01/2015 10.26.14
620;a_1;05/01/2015 10.21.41
620;d_1;05/01/2015 10.22.17
620;c_1;05/01/2015 10.22.37
620;f_1;05/01/2015 10.23.50
621;b_1;05/01/2015 10.22.54
621;d_1;05/01/2015 10.23.21
621;e_1;05/01/2015 10.24.03
621;g_1;05/01/2015 10.26.53
622;a_1;05/01/2015 10.23.38
622;d_1;05/01/2015 10.24.57
622;c_1;05/01/2015 10.25.17
622;f_1;05/01/2015 10.27.35
623;b_1;05/01/2015 10.23.23
623;d_1;05/01/2015 10.23.24
623;e_1;05/01/2015 10.24.00
623;g_1;05/01/2015 10.25.46
624;a_1;05/01/2015 10.24.05
624;d_1;05/01/2015 10.24.09
624;c_1;05/01/2015 10.24.36
624;f_1;05/01/2015 10.25.58
625;b_1;05/01/2015 10.25.05
625;d_1;05/01/2015 10.25.42
625;e_1;05/01/2015 10.27.01
625;g_1;05/01/2015 10.27.37
626;b_1;05/01/2015 10.25.10
626;d_1;05/01/2015 10.26.35
626;e_1;05/01/2015 10.27.18
626;g_1;05/01/2015 10.29.08
627;b_1;05/01/2015 10.26.15
627;e_1;05/01/2015 10.26.18
627;d_1;05/01/2015 10.26.56
627;g_1;05/01/2015 10.30.23
628;b_1;05/01/2015 10.27.16
628;e_1;05/01/2015 10.29.01
628;d_1;05/01/2015 10.29.11
628;g_1;05/01/2015 10.31.48
