;case;activity;time;start_timestamp
0;1;a_1;05/01/2015 00.02.05;05/01/2015 00.02.05
1;1;c_1;05/01/2015 00.02.05;05/01/2015 00.02.05
2;1;d_1;05/01/2015 00.02.11;05/01/2015 00.02.11
3;1;f_1;05/01/2015 00.02.27;05/01/2015 00.02.27
4;2;a_1;05/01/2015 00.02.19;05/01/2015 00.02.19
5;2;d_1;05/01/2015 00.02.21;05/01/2015 00.02.21
6;2;c_1;05/01/2015 00.06.48;05/01/2015 00.06.48
7;2;f_1;05/01/2015 00.06.53;05/01/2015 00.06.53
8;3;b_1;05/01/2015 00.09.57;05/01/2015 00.09.57
9;3;e_1;05/01/2015 00.10.02;05/01/2015 00.10.02
10;3;d_1;05/01/2015 00.11.25;05/01/2015 00.11.25
11;3;g_1;05/01/2015 00.13.49;05/01/2015 00.13.49
12;4;a_1;05/01/2015 00.07.05;05/01/2015 00.07.05
13;4;d_1;05/01/2015 00.08.00;05/01/2015 00.08.00
14;4;c_1;05/01/2015 00.09.15;05/01/2015 00.09.15
15;4;f_1;05/01/2015 00.10.10;05/01/2015 00.10.10
16;5;b_1;05/01/2015 00.06.26;05/01/2015 00.06.26
17;5;d_1;05/01/2015 00.07.16;05/01/2015 00.07.16
18;5;e_1;05/01/2015 00.07.41;05/01/2015 00.07.41
19;5;g_1;05/01/2015 00.08.10;05/01/2015 00.08.10
20;6;a_1;05/01/2015 00.07.22;05/01/2015 00.07.22
21;6;c_1;05/01/2015 00.07.45;05/01/2015 00.07.45
22;6;d_1;05/01/2015 00.09.41;05/01/2015 00.09.41
23;6;f_1;05/01/2015 00.09.55;05/01/2015 00.09.55
24;7;b_1;05/01/2015 00.08.57;05/01/2015 00.08.57
25;7;e_1;05/01/2015 00.09.57;05/01/2015 00.09.57
26;7;d_1;05/01/2015 00.10.16;05/01/2015 00.10.16
27;7;g_1;05/01/2015 00.14.02;05/01/2015 00.14.02
28;8;b_1;05/01/2015 00.09.10;05/01/2015 00.09.10
29;8;d_1;05/01/2015 00.09.11;05/01/2015 00.09.11
30;8;e_1;05/01/2015 00.10.49;05/01/2015 00.10.49
31;8;g_1;05/01/2015 00.11.41;05/01/2015 00.11.41
32;9;b_1;05/01/2015 00.12.37;05/01/2015 00.12.37
33;9;e_1;05/01/2015 00.13.00;05/01/2015 00.13.00
34;9;d_1;05/01/2015 00.13.33;05/01/2015 00.13.33
35;9;g_1;05/01/2015 00.14.01;05/01/2015 00.14.01
36;10;b_1;05/01/2015 00.14.25;05/01/2015 00.14.25
37;10;e_1;05/01/2015 00.14.26;05/01/2015 00.14.26
38;10;d_1;05/01/2015 00.14.59;05/01/2015 00.14.59
39;10;g_1;05/01/2015 00.15.06;05/01/2015 00.15.06
40;11;b_1;05/01/2015 00.17.23;05/01/2015 00.17.23
41;11;e_1;05/01/2015 00.18.06;05/01/2015 00.18.06
42;11;d_1;05/01/2015 00.19.01;05/01/2015 00.19.01
43;11;g_1;05/01/2015 00.19.44;05/01/2015 00.19.44
44;12;a_1;05/01/2015 00.17.58;05/01/2015 00.17.58
45;12;c_1;05/01/2015 00.18.08;05/01/2015 00.18.08
46;12;d_1;05/01/2015 00.18.29;05/01/2015 00.18.29
47;12;f_1;05/01/2015 00.21.09;05/01/2015 00.21.09
48;13;b_1;05/01/2015 00.20.08;05/01/2015 00.20.08
49;13;e_1;05/01/2015 00.20.27;05/01/2015 00.20.27
50;13;d_1;05/01/2015 00.20.39;05/01/2015 00.20.39
51;13;g_1;05/01/2015 00.20.55;05/01/2015 00.20.55
52;14;b_1;05/01/2015 00.19.12;05/01/2015 00.19.12
53;14;e_1;05/01/2015 00.19.16;05/01/2015 00.19.16
54;14;d_1;05/01/2015 00.21.28;05/01/2015 00.21.28
55;14;g_1;05/01/2015 00.23.08;05/01/2015 00.23.08
56;15;b_1;05/01/2015 00.19.22;05/01/2015 00.19.22
57;15;e_1;05/01/2015 00.19.36;05/01/2015 00.19.36
58;15;d_1;05/01/2015 00.19.56;05/01/2015 00.19.56
59;15;g_1;05/01/2015 00.20.31;05/01/2015 00.20.31
60;16;b_1;05/01/2015 00.20.04;05/01/2015 00.20.04
61;16;d_1;05/01/2015 00.20.11;05/01/2015 00.20.11
62;16;e_1;05/01/2015 00.20.34;05/01/2015 00.20.34
63;16;g_1;05/01/2015 00.20.52;05/01/2015 00.20.52
64;17;a_1;05/01/2015 00.19.41;05/01/2015 00.19.41
