case;activity;time
1;a_1;05/01/2015 00.02.05
1;c_1;05/01/2015 00.02.05
1;d_1;05/01/2015 00.02.11
1;f_1;05/01/2015 00.02.27
2;a_1;05/01/2015 00.02.19
2;d_1;05/01/2015 00.02.21
2;c_1;05/01/2015 00.06.48
2;f_1;05/01/2015 00.06.53
3;b_1;05/01/2015 00.09.57
3;e_1;05/01/2015 00.10.02
3;d_1;05/01/2015 00.11.25
3;g_1;05/01/2015 00.13.49
4;a_1;05/01/2015 00.07.05
4;d_1;05/01/2015 00.08.00
4;c_1;05/01/2015 00.09.15
4;f_1;05/01/2015 00.10.10
5;b_1;05/01/2015 00.06.26
5;d_1;05/01/2015 00.07.16
5;e_1;05/01/2015 00.07.41
5;g_1;05/01/2015 00.08.10
6;a_1;05/01/2015 00.07.22
6;c_1;05/01/2015 00.07.45
6;d_1;05/01/2015 00.09.41
6;f_1;05/01/2015 00.09.55
7;b_1;05/01/2015 00.08.57
7;e_1;05/01/2015 00.09.57
7;d_1;05/01/2015 00.10.16
7;g_1;05/01/2015 00.14.02
8;b_1;05/01/2015 00.09.10
8;d_1;05/01/2015 00.09.11
8;e_1;05/01/2015 00.10.49
8;g_1;05/01/2015 00.11.41
9;b_1;05/01/2015 00.12.37
9;e_1;05/01/2015 00.13.00
9;d_1;05/01/2015 00.13.33
9;g_1;05/01/2015 00.14.01
10;b_1;05/01/2015 00.14.25
10;e_1;05/01/2015 00.14.26
10;d_1;05/01/2015 00.14.59
10;g_1;05/01/2015 00.15.06
11;b_1;05/01/2015 00.17.23
11;e_1;05/01/2015 00.18.06
11;d_1;05/01/2015 00.19.01
11;g_1;05/01/2015 00.19.44
12;a_1;05/01/2015 00.17.58
12;c_1;05/01/2015 00.18.08
12;d_1;05/01/2015 00.18.29
12;f_1;05/01/2015 00.21.09
13;b_1;05/01/2015 00.20.08
13;e_1;05/01/2015 00.20.27
13;d_1;05/01/2015 00.20.39
13;g_1;05/01/2015 00.20.55
14;b_1;05/01/2015 00.19.12
14;e_1;05/01/2015 00.19.16
14;d_1;05/01/2015 00.21.28
14;g_1;05/01/2015 00.23.08
15;b_1;05/01/2015 00.19.22
15;e_1;05/01/2015 00.19.36
15;d_1;05/01/2015 00.19.56
15;g_1;05/01/2015 00.20.31
16;b_1;05/01/2015 00.20.04
16;d_1;05/01/2015 00.20.11
16;e_1;05/01/2015 00.20.34
16;g_1;05/01/2015 00.20.52
17;a_1;05/01/2015 00.19.41
17;d_1;05/01/2015 00.20.07
17;c_1;05/01/2015 00.21.31
17;f_1;05/01/2015 00.21.37
18;a_1;05/01/2015 00.21.53
18;d_1;05/01/2015 00.22.27
18;c_1;05/01/2015 00.23.47
18;f_1;05/01/2015 00.23.59
19;b_1;05/01/2015 00.21.42
19;e_1;05/01/2015 00.21.43
19;d_1;05/01/2015 00.21.44
19;g_1;05/01/2015 00.22.53
20;b_1;05/01/2015 00.24.40
20;d_1;05/01/2015 00.25.32
20;e_1;05/01/2015 00.27.47
20;g_1;05/01/2015 00.28.38
21;b_1;05/01/2015 00.27.33
21;e_1;05/01/2015 00.27.58
21;d_1;05/01/2015 00.28.32
21;g_1;05/01/2015 00.29.43
22;b_1;05/01/2015 00.27.30
22;d_1;05/01/2015 00.28.13
22;e_1;05/01/2015 00.30.00
22;g_1;05/01/2015 00.30.43
23;b_1;05/01/2015 00.27.33
23;d_1;05/01/2015 00.28.09
23;e_1;05/01/2015 00.28.43
23;g_1;05/01/2015 00.31.07
24;a_1;05/01/2015 00.31.19
24;d_1;05/01/2015 00.31.28
24;x_1;05/01/2015 00.31.54
24;c_1;05/01/2015 00.31.54
24;f_1;05/01/2015 00.32.14
25;b_1;05/01/2015 00.33.14
25;e_1;05/01/2015 00.33.43
25;d_1;05/01/2015 00.34.29
25;g_1;05/01/2015 00.37.07
26;a_1;05/01/2015 00.31.32
26;d_1;05/01/2015 00.31.41
26;c_1;05/01/2015 00.32.11
26;f_1;05/01/2015 00.32.33
27;a_1;05/01/2015 00.33.08
27;d_1;05/01/2015 00.33.26
27;c_1;05/01/2015 00.36.09
27;f_1;05/01/2015 00.38.12
28;b_1;05/01/2015 00.33.20
28;d_1;05/01/2015 00.33.21
28;e_1;05/01/2015 00.33.27
28;g_1;05/01/2015 00.35.13
29;b_1;05/01/2015 00.35.10
29;e_1;05/01/2015 00.35.19
29;d_1;05/01/2015 00.35.27
29;g_1;05/01/2015 00.36.37
30;a_1;05/01/2015 00.35.06
30;d_1;05/01/2015 00.35.07
30;c_1;05/01/2015 00.35.59
30;f_1;05/01/2015 00.37.00
31;b_1;05/01/2015 00.40.07
31;e_1;05/01/2015 00.42.06
31;d_1;05/01/2015 00.43.08
31;g_1;05/01/2015 00.46.53
32;b_1;05/01/2015 00.37.45
32;d_1;05/01/2015 00.38.01
32;e_1;05/01/2015 00.38.56
32;g_1;05/01/2015 00.39.28
33;a_1;05/01/2015 00.40.18
33;c_1;05/01/2015 00.40.21
33;d_1;05/01/2015 00.41.53
33;f_1;05/01/2015 00.43.55
34;b_1;05/01/2015 00.38.46
34;d_1;05/01/2015 00.39.51
34;e_1;05/01/2015 00.40.19
34;g_1;05/01/2015 00.40.53
35;a_1;05/01/2015 00.40.58
35;c_1;05/01/2015 00.40.58
35;d_1;05/01/2015 00.41.23
35;f_1;05/01/2015 00.42.25
36;a_1;05/01/2015 00.44.19
36;c_1;05/01/2015 00.44.34
36;d_1;05/01/2015 00.45.13
36;f_1;05/01/2015 00.45.53
37;b_1;05/01/2015 00.43.38
37;e_1;05/01/2015 00.44.14
37;d_1;05/01/2015 00.44.26
37;g_1;05/01/2015 00.47.08
38;b_1;05/01/2015 00.43.07
38;e_1;05/01/2015 00.43.24
38;x_1;05/01/2015 00.44.02
38;d_1;05/01/2015 00.45.37
38;g_1;05/01/2015 00.45.46
39;a_1;05/01/2015 00.45.11
39;d_1;05/01/2015 00.45.19
39;x_1;05/01/2015 00.45.22
39;c_1;05/01/2015 00.45.22
39;f_1;05/01/2015 00.47.33
40;a_1;05/01/2015 00.45.43
40;c_1;05/01/2015 00.46.14
40;d_1;05/01/2015 00.47.45
40;f_1;05/01/2015 00.48.27
41;b_1;05/01/2015 00.46.30
41;d_1;05/01/2015 00.46.47
41;e_1;05/01/2015 00.47.49
41;g_1;05/01/2015 00.48.25
42;a_1;05/01/2015 00.47.04
42;c_1;05/01/2015 00.47.05
42;d_1;05/01/2015 00.48.59
42;f_1;05/01/2015 00.49.31
43;a_1;05/01/2015 00.48.01
43;d_1;05/01/2015 00.48.38
43;c_1;05/01/2015 00.49.58
43;f_1;05/01/2015 00.50.55
44;a_1;05/01/2015 00.48.02
44;c_1;05/01/2015 00.48.11
44;d_1;05/01/2015 00.50.32
44;f_1;05/01/2015 00.51.49
45;a_1;05/01/2015 00.53.58
45;d_1;05/01/2015 00.54.42
45;c_1;05/01/2015 00.55.16
45;f_1;05/01/2015 00.56.05
46;a_1;05/01/2015 00.51.32
46;c_1;05/01/2015 00.51.33
46;d_1;05/01/2015 00.53.46
46;f_1;05/01/2015 00.54.59
47;b_1;05/01/2015 00.57.25
47;e_1;05/01/2015 00.58.05
47;d_1;05/01/2015 00.58.45
47;g_1;05/01/2015 01.00.19
48;b_1;05/01/2015 00.59.08
48;d_1;05/01/2015 00.59.08
48;e_1;05/01/2015 00.59.13
48;g_1;05/01/2015 00.59.33
49;a_1;05/01/2015 01.00.46
49;d_1;05/01/2015 01.00.49
49;c_1;05/01/2015 01.01.26
49;f_1;05/01/2015 01.02.16
50;b_1;05/01/2015 01.02.51
50;d_1;05/01/2015 01.03.25
50;e_1;05/01/2015 01.04.42
50;g_1;05/01/2015 01.07.11
51;a_1;05/01/2015 01.02.07
51;d_1;05/01/2015 01.02.17
51;c_1;05/01/2015 01.03.44
51;f_1;05/01/2015 01.05.11
52;b_1;05/01/2015 01.03.50
52;d_1;05/01/2015 01.04.17
52;e_1;05/01/2015 01.04.42
52;g_1;05/01/2015 01.05.07
53;a_1;05/01/2015 01.03.33
53;d_1;05/01/2015 01.03.53
53;x_1;05/01/2015 01.04.36
53;c_1;05/01/2015 01.04.36
53;f_1;05/01/2015 01.05.11
54;b_1;05/01/2015 01.07.32
54;d_1;05/01/2015 01.07.54
54;e_1;05/01/2015 01.08.36
54;g_1;05/01/2015 01.09.02
55;b_1;05/01/2015 01.06.59
55;e_1;05/01/2015 01.08.20
55;d_1;05/01/2015 01.08.49
55;g_1;05/01/2015 01.09.01
56;a_1;05/01/2015 01.07.05
56;c_1;05/01/2015 01.07.07
56;d_1;05/01/2015 01.07.12
56;f_1;05/01/2015 01.07.44
57;a_1;05/01/2015 01.09.31
57;c_1;05/01/2015 01.09.56
57;d_1;05/01/2015 01.13.14
57;f_1;05/01/2015 01.13.52
58;b_1;05/01/2015 01.11.49
58;e_1;05/01/2015 01.12.28
58;d_1;05/01/2015 01.12.32
58;g_1;05/01/2015 01.13.03
59;b_1;05/01/2015 01.11.56
59;d_1;05/01/2015 01.12.46
59;e_1;05/01/2015 01.13.00
59;g_1;05/01/2015 01.15.22
60;b_1;05/01/2015 01.14.12
60;d_1;05/01/2015 01.14.26
60;e_1;05/01/2015 01.15.00
60;g_1;05/01/2015 01.16.35
61;a_1;05/01/2015 01.14.07
61;d_1;05/01/2015 01.14.21
61;c_1;05/01/2015 01.15.18
61;f_1;05/01/2015 01.17.13
62;b_1;05/01/2015 01.16.17
62;d_1;05/01/2015 01.16.40
62;e_1;05/01/2015 01.16.45
62;g_1;05/01/2015 01.17.32
63;a_1;05/01/2015 01.15.40
63;d_1;05/01/2015 01.16.10
63;c_1;05/01/2015 01.16.56
63;f_1;05/01/2015 01.20.06
64;b_1;05/01/2015 01.16.57
64;e_1;05/01/2015 01.18.05
64;d_1;05/01/2015 01.22.34
64;g_1;05/01/2015 01.23.33
65;a_1;05/01/2015 01.16.08
65;d_1;05/01/2015 01.16.25
65;c_1;05/01/2015 01.16.50
65;f_1;05/01/2015 01.17.20
66;a_1;05/01/2015 01.16.11
66;c_1;05/01/2015 01.16.20
66;d_1;05/01/2015 01.19.32
66;f_1;05/01/2015 01.20.39
67;a_1;05/01/2015 01.17.19
67;d_1;05/01/2015 01.18.01
67;x_1;05/01/2015 01.19.34
67;c_1;05/01/2015 01.19.34
67;f_1;05/01/2015 01.19.43
68;b_1;05/01/2015 01.17.15
68;d_1;05/01/2015 01.18.17
68;e_1;05/01/2015 01.19.18
68;g_1;05/01/2015 01.19.59
69;a_1;05/01/2015 01.18.46
69;c_1;05/01/2015 01.20.55
69;d_1;05/01/2015 01.22.39
69;f_1;05/01/2015 01.25.51
70;a_1;05/01/2015 01.18.12
70;d_1;05/01/2015 01.19.10
70;c_1;05/01/2015 01.19.14
70;f_1;05/01/2015 01.19.17
71;a_1;05/01/2015 01.21.29
71;d_1;05/01/2015 01.21.58
71;c_1;05/01/2015 01.22.59
71;f_1;05/01/2015 01.23.58
72;a_1;05/01/2015 01.19.21
72;d_1;05/01/2015 01.20.42
72;c_1;05/01/2015 01.22.35
72;f_1;05/01/2015 01.23.30
73;b_1;05/01/2015 01.22.15
73;d_1;05/01/2015 01.22.33
73;e_1;05/01/2015 01.23.04
73;g_1;05/01/2015 01.24.02
74;a_1;05/01/2015 01.21.04
74;d_1;05/01/2015 01.21.05
74;c_1;05/01/2015 01.22.00
74;f_1;05/01/2015 01.23.28
75;b_1;05/01/2015 01.21.27
75;d_1;05/01/2015 01.21.31
75;e_1;05/01/2015 01.21.50
75;g_1;05/01/2015 01.24.25
76;a_1;05/01/2015 01.21.35
76;d_1;05/01/2015 01.22.19
76;c_1;05/01/2015 01.23.06
76;f_1;05/01/2015 01.24.44
77;b_1;05/01/2015 01.21.58
77;d_1;05/01/2015 01.22.14
77;e_1;05/01/2015 01.22.37
77;g_1;05/01/2015 01.23.08
78;a_1;05/01/2015 01.21.54
78;c_1;05/01/2015 01.22.48
78;d_1;05/01/2015 01.23.01
78;f_1;05/01/2015 01.26.03
79;b_1;05/01/2015 01.23.42
79;e_1;05/01/2015 01.23.48
79;d_1;05/01/2015 01.23.51
79;g_1;05/01/2015 01.25.40
80;b_1;05/01/2015 01.24.52
80;e_1;05/01/2015 01.25.57
80;d_1;05/01/2015 01.28.17
80;g_1;05/01/2015 01.28.29
81;a_1;05/01/2015 01.25.22
81;d_1;05/01/2015 01.25.32
81;c_1;05/01/2015 01.25.43
81;f_1;05/01/2015 01.27.05
82;b_1;05/01/2015 01.25.19
82;d_1;05/01/2015 01.25.48
82;e_1;05/01/2015 01.25.55
82;g_1;05/01/2015 01.26.17
83;b_1;05/01/2015 01.25.31
83;e_1;05/01/2015 01.25.32
83;d_1;05/01/2015 01.26.04
83;g_1;05/01/2015 01.28.18
84;b_1;05/01/2015 01.26.38
84;e_1;05/01/2015 01.27.40
84;d_1;05/01/2015 01.28.11
84;g_1;05/01/2015 01.30.01
85;a_1;05/01/2015 01.26.19
85;d_1;05/01/2015 01.26.27
85;c_1;05/01/2015 01.28.19
85;f_1;05/01/2015 01.31.03
86;b_1;05/01/2015 01.27.21
86;e_1;05/01/2015 01.28.00
86;d_1;05/01/2015 01.29.45
86;x_1;05/01/2015 01.32.44
86;g_1;05/01/2015 01.33.16
87;a_1;05/01/2015 01.26.29
87;c_1;05/01/2015 01.26.31
87;d_1;05/01/2015 01.28.56
87;f_1;05/01/2015 01.29.06
88;a_1;05/01/2015 01.26.56
88;d_1;05/01/2015 01.27.07
88;c_1;05/01/2015 01.28.31
88;f_1;05/01/2015 01.29.41
89;a_1;05/01/2015 01.31.59
89;c_1;05/01/2015 01.32.44
89;d_1;05/01/2015 01.36.10
89;f_1;05/01/2015 01.36.11
90;a_1;05/01/2015 01.30.32
90;d_1;05/01/2015 01.30.42
90;c_1;05/01/2015 01.31.02
90;f_1;05/01/2015 01.33.17
91;a_1;05/01/2015 01.30.40
91;c_1;05/01/2015 01.31.06
91;d_1;05/01/2015 01.31.19
91;f_1;05/01/2015 01.31.22
92;b_1;05/01/2015 01.30.47
92;d_1;05/01/2015 01.31.56
92;e_1;05/01/2015 01.32.44
92;g_1;05/01/2015 01.34.38
93;b_1;05/01/2015 01.31.21
93;e_1;05/01/2015 01.33.43
