case;activity;time
908;b_1;05/01/2015 14.50.51
908;d_1;05/01/2015 14.51.11
908;e_1;05/01/2015 14.51.50
908;g_1;05/01/2015 14.52.42
909;b_1;05/01/2015 14.52.49
909;e_1;05/01/2015 14.53.05
909;d_1;05/01/2015 14.53.42
909;g_1;05/01/2015 14.54.31
910;a_1;05/01/2015 14.52.14
910;c_1;05/01/2015 14.52.21
910;d_1;05/01/2015 14.52.29
910;f_1;05/01/2015 14.52.53
911;a_1;05/01/2015 14.52.57
911;c_1;05/01/2015 14.53.10
911;d_1;05/01/2015 14.53.51
911;f_1;05/01/2015 14.54.50
912;a_1;05/01/2015 14.54.26
912;d_1;05/01/2015 14.54.38
912;c_1;05/01/2015 14.57.04
912;f_1;05/01/2015 14.58.30
913;a_1;05/01/2015 14.56.14
913;d_1;05/01/2015 14.56.37
913;c_1;05/01/2015 14.57.18
913;f_1;05/01/2015 14.57.27
914;a_1;05/01/2015 14.56.40
914;d_1;05/01/2015 14.56.51
914;c_1;05/01/2015 14.57.21
914;f_1;05/01/2015 14.57.48
915;a_1;05/01/2015 14.58.10
915;d_1;05/01/2015 14.58.19
915;c_1;05/01/2015 14.58.47
915;f_1;05/01/2015 15.02.10
916;a_1;05/01/2015 14.59.02
916;c_1;05/01/2015 14.59.30
916;d_1;05/01/2015 15.00.16
916;f_1;05/01/2015 15.01.47
917;b_1;05/01/2015 15.00.01
917;e_1;05/01/2015 15.00.10
917;d_1;05/01/2015 15.01.09
917;g_1;05/01/2015 15.01.48
918;a_1;05/01/2015 14.59.42
918;c_1;05/01/2015 15.00.38
918;d_1;05/01/2015 15.00.54
918;f_1;05/01/2015 15.03.47
919;a_1;05/01/2015 15.00.43
919;c_1;05/01/2015 15.01.49
919;d_1;05/01/2015 15.02.42
919;f_1;05/01/2015 15.06.07
920;b_1;05/01/2015 15.04.18
920;d_1;05/01/2015 15.04.25
920;e_1;05/01/2015 15.09.14
920;g_1;05/01/2015 15.11.05
921;a_1;05/01/2015 15.04.37
921;d_1;05/01/2015 15.05.36
921;c_1;05/01/2015 15.06.45
921;f_1;05/01/2015 15.07.53
922;a_1;05/01/2015 15.05.27
922;c_1;05/01/2015 15.05.41
922;d_1;05/01/2015 15.07.27
922;f_1;05/01/2015 15.07.55
923;b_1;05/01/2015 15.05.46
923;e_1;05/01/2015 15.05.55
923;d_1;05/01/2015 15.05.58
923;g_1;05/01/2015 15.06.32
924;b_1;05/01/2015 15.06.59
924;e_1;05/01/2015 15.07.28
924;d_1;05/01/2015 15.07.30
924;g_1;05/01/2015 15.09.06
925;b_1;05/01/2015 15.07.43
925;e_1;05/01/2015 15.07.59
925;d_1;05/01/2015 15.08.15
925;g_1;05/01/2015 15.10.19
926;a_1;05/01/2015 15.12.17
926;d_1;05/01/2015 15.12.23
926;c_1;05/01/2015 15.12.51
926;f_1;05/01/2015 15.13.18
927;a_1;05/01/2015 15.12.17
927;d_1;05/01/2015 15.13.32
927;c_1;05/01/2015 15.13.33
927;f_1;05/01/2015 15.14.43
928;a_1;05/01/2015 15.12.29
928;c_1;05/01/2015 15.12.47
928;d_1;05/01/2015 15.13.16
928;f_1;05/01/2015 15.13.35
929;a_1;05/01/2015 15.13.21
929;d_1;05/01/2015 15.14.01
929;c_1;05/01/2015 15.15.36
929;f_1;05/01/2015 15.15.44
930;a_1;05/01/2015 15.15.52
930;d_1;05/01/2015 15.15.59
930;c_1;05/01/2015 15.16.04
930;f_1;05/01/2015 15.16.21
931;b_1;05/01/2015 15.16.13
931;d_1;05/01/2015 15.17.12
931;e_1;05/01/2015 15.18.23
931;g_1;05/01/2015 15.18.34
932;a_1;05/01/2015 15.16.26
932;c_1;05/01/2015 15.16.42
932;d_1;05/01/2015 15.16.57
932;f_1;05/01/2015 15.17.20
933;b_1;05/01/2015 15.19.15
933;d_1;05/01/2015 15.19.28
933;e_1;05/01/2015 15.19.41
933;g_1;05/01/2015 15.24.14
934;b_1;05/01/2015 15.16.30
934;d_1;05/01/2015 15.16.31
934;e_1;05/01/2015 15.16.44
934;g_1;05/01/2015 15.17.11
935;a_1;05/01/2015 15.18.44
935;d_1;05/01/2015 15.18.47
935;c_1;05/01/2015 15.19.26
935;f_1;05/01/2015 15.20.52
936;b_1;05/01/2015 15.21.34
936;d_1;05/01/2015 15.22.00
936;e_1;05/01/2015 15.23.02
936;g_1;05/01/2015 15.24.58
937;a_1;05/01/2015 15.21.53
937;c_1;05/01/2015 15.22.34
937;d_1;05/01/2015 15.22.55
937;f_1;05/01/2015 15.24.11
938;a_1;05/01/2015 15.22.45
938;c_1;05/01/2015 15.22.49
938;d_1;05/01/2015 15.22.49
938;f_1;05/01/2015 15.24.40
939;a_1;05/01/2015 15.22.43
939;d_1;05/01/2015 15.23.16
939;c_1;05/01/2015 15.23.31
939;f_1;05/01/2015 15.25.30
940;a_1;05/01/2015 15.24.01
940;c_1;05/01/2015 15.24.10
940;d_1;05/01/2015 15.26.34
940;f_1;05/01/2015 15.27.12
941;b_1;05/01/2015 15.26.55
941;d_1;05/01/2015 15.27.10
941;e_1;05/01/2015 15.27.32
941;g_1;05/01/2015 15.28.10
942;a_1;05/01/2015 15.24.52
942;d_1;05/01/2015 15.25.02
942;c_1;05/01/2015 15.26.07
942;f_1;05/01/2015 15.27.24
943;b_1;05/01/2015 15.25.26
943;d_1;05/01/2015 15.25.33
943;e_1;05/01/2015 15.26.24
943;g_1;05/01/2015 15.27.00
944;a_1;05/01/2015 15.25.39
944;d_1;05/01/2015 15.26.58
944;x_1;05/01/2015 15.28.49
944;c_1;05/01/2015 15.28.49
944;f_1;05/01/2015 15.29.33
945;a_1;05/01/2015 15.25.23
945;c_1;05/01/2015 15.25.27
945;d_1;05/01/2015 15.26.00
945;f_1;05/01/2015 15.27.17
946;b_1;05/01/2015 15.26.14
946;d_1;05/01/2015 15.26.59
946;e_1;05/01/2015 15.27.31
946;g_1;05/01/2015 15.27.41
947;b_1;05/01/2015 15.27.14
947;e_1;05/01/2015 15.27.21
947;d_1;05/01/2015 15.28.54
947;g_1;05/01/2015 15.29.24
948;a_1;05/01/2015 15.30.55
948;d_1;05/01/2015 15.30.58
948;c_1;05/01/2015 15.30.59
948;f_1;05/01/2015 15.32.19
949;b_1;05/01/2015 15.31.08
949;d_1;05/01/2015 15.31.18
949;e_1;05/01/2015 15.31.47
949;g_1;05/01/2015 15.35.17
950;a_1;05/01/2015 15.32.11
950;d_1;05/01/2015 15.32.56
950;c_1;05/01/2015 15.33.27
950;f_1;05/01/2015 15.35.07
951;a_1;05/01/2015 15.36.38
951;c_1;05/01/2015 15.36.49
951;d_1;05/01/2015 15.37.42
951;f_1;05/01/2015 15.38.35
952;b_1;05/01/2015 15.33.08
952;e_1;05/01/2015 15.33.18
952;d_1;05/01/2015 15.33.37
952;g_1;05/01/2015 15.34.03
953;a_1;05/01/2015 15.33.39
953;c_1;05/01/2015 15.34.35
953;d_1;05/01/2015 15.37.15
953;f_1;05/01/2015 15.38.30
954;b_1;05/01/2015 15.40.16
954;e_1;05/01/2015 15.40.30
954;d_1;05/01/2015 15.40.59
954;g_1;05/01/2015 15.43.56
955;b_1;05/01/2015 15.38.15
955;d_1;05/01/2015 15.38.58
955;e_1;05/01/2015 15.39.12
955;x_1;05/01/2015 15.39.17
955;g_1;05/01/2015 15.39.18
956;a_1;05/01/2015 15.39.38
956;d_1;05/01/2015 15.40.29
956;c_1;05/01/2015 15.41.06
956;f_1;05/01/2015 15.41.31
957;b_1;05/01/2015 15.39.46
957;e_1;05/01/2015 15.40.27
957;d_1;05/01/2015 15.41.15
957;g_1;05/01/2015 15.41.27
958;b_1;05/01/2015 15.40.11
958;e_1;05/01/2015 15.40.21
958;d_1;05/01/2015 15.40.57
958;g_1;05/01/2015 15.42.06
959;b_1;05/01/2015 15.42.12
959;e_1;05/01/2015 15.42.26
959;d_1;05/01/2015 15.43.33
959;g_1;05/01/2015 15.45.25
960;a_1;05/01/2015 15.41.36
960;d_1;05/01/2015 15.42.10
960;c_1;05/01/2015 15.43.33
960;f_1;05/01/2015 15.44.23
961;b_1;05/01/2015 15.43.17
961;e_1;05/01/2015 15.43.27
961;d_1;05/01/2015 15.45.04
961;g_1;05/01/2015 15.46.15
962;a_1;05/01/2015 15.43.58
962;d_1;05/01/2015 15.44.24
962;c_1;05/01/2015 15.45.01
962;f_1;05/01/2015 15.47.40
963;a_1;05/01/2015 15.48.29
963;d_1;05/01/2015 15.49.01
963;c_1;05/01/2015 15.51.19
963;f_1;05/01/2015 15.51.25
964;b_1;05/01/2015 15.48.23
964;e_1;05/01/2015 15.48.39
964;d_1;05/01/2015 15.50.14
964;g_1;05/01/2015 15.51.12
965;a_1;05/01/2015 15.51.54
965;c_1;05/01/2015 15.53.08
965;d_1;05/01/2015 15.53.40
965;f_1;05/01/2015 15.53.51
966;a_1;05/01/2015 15.53.44
966;c_1;05/01/2015 15.53.58
966;d_1;05/01/2015 15.56.33
966;f_1;05/01/2015 15.57.40
967;a_1;05/01/2015 15.53.06
967;c_1;05/01/2015 15.53.40
967;d_1;05/01/2015 15.58.57
967;f_1;05/01/2015 15.59.33
968;a_1;05/01/2015 15.53.55
968;d_1;05/01/2015 15.53.58
968;c_1;05/01/2015 15.55.34
968;f_1;05/01/2015 15.56.42
969;a_1;05/01/2015 15.54.09
969;d_1;05/01/2015 15.54.17
